artist_name,genres
B.o.B,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop']"
Evynne Hollens,['viral pop']
We Rabbitz
Gucci Mane,"['dirty south rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
Zedd,"['complextro', 'dance pop', 'edm', 'german techno', 'pop', 'post-teen pop', 'tropical house']"
Missy & Blonde,['viral pop']
Sam Hunt,['contemporary country']
Alex & Sierra,"['australian pop', 'dance pop', 'neo mellow', 'pop', 'post-teen pop', 'viral pop']"
Justin Bieber,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']",['fake']
Kid Ink,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']"
Cardi B,"['pop', 'rap']"
X Ambassadors,"['modern alternative rock', 'modern rock', 'pop', 'pop rock', 'stomp pop']"
James Cherry
Michael Christopher
Noah Cyrus,"['dance pop', 'electropop', 'pop', 'post-teen pop']"
Jax Jones,"['dance pop', 'edm', 'house', 'pop', 'tropical house']"
GOAT,"['chamber psych', 'neo-psychedelic', 'space rock']","['alt-indie rock', 'chamber psych', 'garage psych', 'modern alternative rock', 'preverb']"
Camila Cabello,"['dance pop', 'pop', 'post-teen pop']"
Davichi,"['k-indie', 'k-pop', 'korean pop']"
Minh Vuong M4u,['vietnamese pop']
Troye Sivan,"['dance pop', 'pop', 'post-teen pop', 'viral pop']"
Diddy - Dirty Money,['hip pop']
Sam Tsui,"['channel pop', 'post-teen pop', 'viral pop']"
Adele,['pop'],['violin']
R. Kelly
fun.,"['metropopolis', 'modern rock', 'pop rap']","['catstep', 'complextro', 'edm', 'electro house', 'tracestep']","['catstep', 'edm', 'electro house', 'tracestep']",['electronic'],"['bubblegum dance', 'eurodance', 'europop', 'hip house']","['dance rock', 'new romantic', 'new wave', 'new wave pop', 'ska', 'ska revival']"
John Legend,"['neo soul', 'pop', 'r&b', 'urban contemporary']"
Wiz Khalifa,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
