artist_name,song_name,lyrics
Ed Sheeran,Make It Rain,"When the sins of my father
Weigh down in my soul
And the pain of my mother
Will not let me go
Well I know there can come fire from the sky
To purify pure as the canes
Even though
I know this fire brings me pain
Even so
And just the same

Make it rain
Make it rain down low
Just make it rain
Make it rain
Make it rain
Make it rain down low
Just make it rain
Make it rain

And the seed needs the water
Before it grows out of the ground
But it just keeps on getting hotter
And the hunger more profound
Well I know there can come tears from their eyes
But they may as well be in vain
Even though
I know these tears bring me pain
Even so
And just the same

Make it rain
Make it rain down low
Just make it rain
Make it rain
Make it rain
Make it rain down low
Just make it rain
Make it rain

Make it rain
Make it rain
Make it rain
Make it rain

Make it rain
Make it rain
Make it rain
Make it rain

And the seas are full of water
That stop by the shore
Just like the riches of grandeur
That never reach the port

So let the claps fill with thunderous applause
And let thy death be the veins
And fill the sky
With all that they can drop
When it's time
To make a change"
Rudimental,Lay It All On Me (feat. Ed Sheeran),"All alone as you look through the door
Nothing left to see
If it hurts and you can't take no more
Lay it all on me

No you don't have to keep it on a locking key
'Cause I will never let you down
And if you can't escape all your uncertainties
Baby I can show you how

Let my love in, let my love in
Lay your heart on me
If you're hurting, if you're hurting
Lay it all on me
You can lay it all on me
Lay it all on me
Lay it all on me
If you're hurting, if you're hurting
Lay it all on me

If you're scared when you're out on your own
Just remember me
'Cause I won't let you go, let alone
Lay it all on me

No you don't have to keep it on a locking key
'Cause I will never let you down
And if you can't escape all your uncertainties
Baby I can show you how

Let my love in, let my love in
Lay your heart on me
If you're hurting, if you're hurting
Lay it all on me
You can lay it all on me
Lay it all on me
Lay it all on me
If you're hurting, if you're hurting
Lay it all on me

So if you're hurting babe
Just let your heart be free
You got a friend in me
I'll be your shoulder at anytime you need
Baby I believe
So if you're hurting babe
Just let you're heart be free
You got a friend in me
I'll be your shoulder at anytime you need
Baby I believe
You can lay it all on me

Let my love in, let my love in
Lay your heart on me
If you're hurting, if you're hurting
Lay it all on me (lay it all on me)
Lay it all on me (lay it all on me)
Lay it all on me
If you're hurting, if you're hurting
Lay it all on me (lay it all on me)
Lay it all, lay it all
Lay it all (lay it all on me)
Lay it all, lay it all
Lay it all on me
Lay it all, lay it all on me
Lay it all on me
Lay it all, lay it all on me
Lay it all on me"
Lawson,Where My Love Goes,"My love goes out of my heart and into the wind
Out my guitar and under your skin
Into your house and out of your headphones
That's where my love goes

Wherever you go, I'll follow
Don't worry about tomorrow
I will be in your shadow
Walking right beside you everyday
I'll be the one to save ya
When I put my pen to paper
Feels like it brings us closer
Even when you're so far away

Bullet trains and aeroplanes
I can choose the easy way
So I'll send a signal just for you

My love goes out of my heart and into the wind
Out my guitar and under your skin
Into your house and out of your headphones

My love goes out of your door and into the street
Down through the floor and up through your feet
Into your car and out of your radio
That's where my love goes

You will never be lonely
Just relax and listen to me
I breathe the air that you breathe
I am always with you in disguise

Bullet trains and aeroplanes
I can choose the easy way
So I'll send a signal just for you

My love goes out of my heart and into the wind
Out my guitar and under your skin
Into your house and out of your headphones

My love goes out of your door and into the street
Down through the floor and up through your feet
Into your car and out of your radio
That's where my love goes

That's where my love goes
Tell me, can you hear me now
I'm screaming out so loud
Oh, it goes out of my heart and into the wind
Out my guitar and under your skin
Into your house and out of your radio

Out of my heart and into the wind
Out my guitar and under your skin
Into your house and out of your headphones
My love goes out of your door and into the street
Down through the floor and up through your feet
Into your car and out of your radio
That's where my love goes
Yeah, that's where my love goes
My love goes out of your door and into the street
Down through the floor and up through your feet
Into your car and out of your radio
That's where my love goes"
OneRepublic,Apologize,"I'm holding on your rope
Got me ten feet off the ground
And I'm hearing what you say
But I just can't make a sound

You tell me that you need me
Then you go and cut me down, but wait
You tell me that you're sorry
Didn't think I'd turn around, and say

That it's too late to apologize, it's too late
I said it's too late to apologize, it's too late

I'd take another chance
Take a fall, take a shot for you
And I need you like a heart needs a beat
But it's nothing new, yeah

I loved you with a fire red
Now it's turning blue, and you say
Sorry like the angel heaven let me think was you
But I'm afraid

It's too late to apologize, it's too late
I said it's too late to apologize, it's too late

It's too late to apologize, it's too late
I said it's too late to apologize, it's too late

I said it's too late to apologize, it's too late
I said it's too late to apologize, it's too late

I'm holding on your rope
Got me ten feet off the ground"
Calum Scott,Dancing On My Own,"Somebody said you got a new friend
Does she love you better than I can?
There's a big black sky over my town
I know where you're at, I bet she's around

Yeah, I know it's stupid
I just gotta see it for myself

I'm in the corner, watching you kiss her, o ooh
I'm right over here, why can't you see me, o ooh
And I'm giving it all my, but I'm not the guy you're taking home, ooh
I keep dancing on my own

I'm just gonna dance all night
I'm all messed up, I'm so out of line, yeah
Stilettos and broken bottles
I'm spinning around in circles
I'm in the corner, watching you kiss her, o ooh
I'm right over here, why can't you see me, o ooh
And I'm giving it my all, but I'm not the guy you're taking home, ooh
I keep dancing on my own
And oh no

So far away but still so near
The lights come up, the music dies
But you don't see me standing here
I just came to say goodbye
I'm in the corner, watching you kiss her, o ooh
And I'm giving it my all, but I'm not the guy you're taking home, ooh
I keep dancing on my own
And oh no
I'm in the corner, watching you kiss her, oh no
And I'm right over here, why can't you see me, oh no
I'm giving it my all, but I'm not the guy you're taking home, ooh
I keep dancing on my own

So far away, but still so near
The lights come up, the music dies
But you don't see me standing here"
Chris Brown,Next To You,"You've got that smile
That only heaven can make
I pray to God every day
That you keep that smile

You are my dream
There's not a thing I won't do
I'll give my life up for you
'Cause you are my dream

And baby everything that I have is yours
You will never go cold or hungry
I'll be there when you're insecure
Let you know that you're always lovely, girl
'Cause you are the only thing that I got right now

One day when the sky is fallin'
I'll be standing right next to you, right next to you
Nothing will ever come between us
'Cause I'll be standing right next to you, right next to you

If you had my child
You would make my life complete
Just to have your eyes on a little me
That'd be mine forever

And baby everything that I have is yours
You will never go cold or hungry
I'll be there when you're insecure
Let you know that you're always lovely, girl

'Cause you are the only thing that I got right now

One day when the sky is fallin'
I'll be standing right next to you, right next to you
Nothing will ever come between us
I'll be standing right next to you, right next to you

We're made for one another
Me and you
And I have no fear
I know we'll make it through

One day when the sky is fallin'
I'll be standing right next to you

One day when the sky is fallin'
I'll be standing right next to you, right next to you
Nothing will ever come between us
I'll be standing right next to you, right next to you

Stand by my side, side, side
When the sky, falls, down
I'll be there, I'll be there
You've got that smile
That only heaven can make
I pray to God every day
To keep you forever"
The Vamps,Somebody To You,"Yeah you!
Yeah you!

I used to wanna be
Living like there's only me
And now I spend my time
Thinking 'bout a way to get you off my mind
(Yeah you!)
I used to be so tough
Never really gave enough
And then you caught my eye
Giving me the feeling of a lightning strike
(Yeah you!)

Look at me now, I'm falling
I can't even talk, still stuttering
This ground of mine keeps shaking
Oh oh oh, now!

All I wanna be, yeah all I ever wanna be, yeah, yeah
Is somebody to you
All I wanna be, yeah all I ever wanna be, yeah, yeah
Is somebody to you

Everybody's trying to be a billionaire
But every time I look at you I just don't care
Cause all I wanna be, yeah all I ever wanna be, yeah, yeah
Is somebody to you
(Yeah you!)

I used to ride around
I didn't wanna settle down
But now I wake each day
Looking for a way that I can see your face
(Yeah you!)
I've got your photograph
But baby I need more than that
I need to know your lips
Nothing ever mattered to me more than this
(Yeah you!)

Look at me now, I'm falling
I can't even talk, still stuttering
This ground of mine keeps shaking
Oh oh oh, now!

All I wanna be, yeah all I ever wanna be, yeah, yeah
Is somebody to you
All I wanna be, yeah all I ever wanna be, yeah, yeah
Is somebody to you

Everybody's trying to be a billionaire
But every time I look at you I just don't care
Cause all I wanna be, yeah all I ever wanna be, yeah, yeah
Is somebody to you
(Yeah you!)

Look at me now, I'm falling
I can't even talk, still stuttering
All I wanna be, yeah all I ever wanna be, yeah, yeah, yeah, yeah
(Yeah you!)

All I wanna be, yeah all I ever wanna be, yeah, yeah
Is somebody to you
All I wanna be, yeah all I ever wanna be, yeah, yeah
Is somebody to you
(Yeah you!)

All I wanna be, yeah all I ever wanna be, yeah, yeah
Is somebody to you
All I wanna be, yeah all I ever wanna be, yeah, yeah
Is somebody to you
(Yeah you!)

Everybody's trying to be a billionaire
But every time I look at you I just don't care
Cause all I wanna be, yeah all I ever wanna be, yeah, yeah
Is somebody to you
(Yeah you!)

Cause all I wanna be, yeah all I ever wanna be, yeah, yeah
Is somebody to you
(Yeah you!)

Yeah you!"
Glee Cast,Let Me Love You (Until You Learn To Love Yourself) (Glee Cast Version),"Artie:
Baby I just don't get it
Do you enjoy being hurt?
I know you smelled the perfume,
The make-up on his shirt

You don't believe his stories
You know that they're all lies
Mad as you are, you stick around
And I just don't know why

Sam, Puck, Kurt and Mike (Artie):
If I was ya' man (baby you)
Never worry 'bout (what I do)
I'd be coming home (back to you)

Artie:
Every night,
Doin' you right

Sam, Puck, Kurt and Mike (Artie):
You're the type of woman (deserves good thangs)
Fist full of diamonds (hand full of rings)
Baby you're a star (I just want to show you, you are)

Artie with Sam, Puck, Kurt and Mike:
You should let me love you
Let me be the one to
Give you everything you want and need
Baby, good love and protection
Make me your selection
Show you the way love's supposed to be

Artie:
Baby you should let me love you,
Love you,
Love you

Listen
Your true beauty's description
Looks so good that it hurts
You're a dime plus ninety-nine and it's a shame
Don't even know what you're worth
Everywhere you go they stop and stare
'Cause you're bad and it shows
From your head to your toes
Out of control,
Baby you know

Sam, Puck, Kurt and Mike (Artie):
If I was ya' man (baby you)
Never worry 'bout (what I do)
I'd be coming home (back to you)

Artie:
Every night doin' you right

Sam, Puck, Kurt and Mike (Artie):
You're the type of woman (deserves good thangs)
Fistful of diamonds (hand full of rings)
Baby you're a star (I just want to show you, you are)

Artie with Sam, Puck, Kurt and Mike:
You should let me love you
Let me be the one to
Give you everything you want and need
Ooh, baby good love and protection
Make me your selection
Show you the way love's supposed to be
Baby you should let me

Sam, Puck, Kurt and Mike (Artie):
You deserve better girl (you know you deserve better)
We should be together girl (baby)

Artie:
With me and you it's whatever girl,
Hey!
So can we make this thing ours?

Artie with Sam, Puck, Kurt and Mike:
You should let me love you
Let me be the one to
Give you everything you want and need

Sam, Puck, Kurt and Mike:
Baby. good love and protection (Artie: Said everything)
Make me your selection (Artie: The way you shake me baby)
Show you the way love's supposed to be (Artie: Ooh)
(Artie: You should let me love you) Baby, you should let me love you,
Love you,
Love you

Let me be the one to
Give you everything you want and need
Ooh, baby good love and protection
Make me your selection
Show you the way love's supposed to be (Artie: hey!)
(Artie: hey) Baby you should let me...

Let me be the one to
Give you everything you want and need
Ooh, baby good love and protection
Make me your selection
Show you the way love's supposed to be
Baby you should let me...
(Artie: Let me love you)

Artie:
It's all you need baby"
Troye Sivan,YOUTH,"What if
What if we run away
What if
What if we left today
What if
We said goodbye to safe and sound
And what if
What if we're hard to find
What if
What if we lost our minds
What if
We left them fall behind, and they're never found

And when the lights start flashing like a photobooth
And the stars exploding
We'll be fireproof

My youth
My youth is yours
Trippin' on skies, sippin' waterfalls
My youth
My youth is yours
Runaway now and forevermore
My youth
My youth is yours
A truth so loud you can't ignore
My youth, my youth, my youth
My youth is yours

What if
What if we start to drive
What if
What if we close our eyes
What if
Speeding through red lights into paradise
'Cause we've no time for getting old
Mortal body; timeless souls
Cross your fingers, here we go
Oh, oh, oh

And when the lights start flashing like a photobooth
And the stars exploding
We'll be fireproof

My youth
My youth is yours
Trippin' on skies, sippin' waterfalls
My youth
My youth is yours
Runaway now and forevermore
My youth
My youth is yours
A truth so loud you can't ignore
My youth, my youth, my youth
My youth is yours
My youth is yours

My youth
My youth is yours
Trippin' on skies, sippin' waterfalls
My youth
My youth is yours
Runaway now and forevermore
My youth
My youth is yours
A truth so loud you can't ignore
My youth, my youth, my youth
My youth is yours
Oh, oh, oh
My youth is yours
Oh, oh, oh
My youth is yours"
Austin Mahone,All I Ever Need,"Don't the water grow the trees
Don't the moon pull the tide
Don't the stars light the sky
Like you need to light my life
If you need me anytime
You know I'm always right by your side
See I've never felt this love
You're the only thing that's on my mind

You don't understand how much you really mean to me
I need you in my life
You're my necessity
But believe me that you're everything
That just makes my world complete
My love is clear the only thing I love

You're all I ever need
Baby you're amazing
You're my angel come and save me
You're all I ever need
Baby you're amazing
You're my angel come and save me

Don't the water grow the trees
Don't the moon pull the tide
Don't the stars light the sky
Like you need to light my life

We can do anything we life
I know we both can get it right tonight
You got your walls built up high
I can tell by looking in your eyes

You don't understand how much you really mean to me
I need you in my life
You're my necessity
But believe me that you're everything
That just makes my world complete
And my love is clear the only thing I love

You're all I ever need
Baby you're amazing
You're my angel come and save me
You're all I ever need
Baby you're amazing
You're my angel come and save me

When it comes to you
Baby I'm addicted
You're like a drug, no rehab can fix it
I think you're perfect even with your flaws
You ask what I like about you
Ooh, I love it all
When it comes to you
Baby I'm addicted
You're like a drug, no rehab can fix it
I think you're perfect even with your flaws
You ask what I like about you
Ooh, I love it all

You're all I ever need
Baby you're amazing
You're my angel come and save me
You're all I ever need
Baby you're amazing
You're my angel come and save me

You're all I ever need
Baby you're amazing
You're my angel come and save me
You're all I ever need
Baby you're amazing
You're my angel come and save me"
Imagine Dragons,Believer,"First things first
I'mma say all the words inside my head
I'm fired up and tired of the way that things have been, oh-ooh
The way that things have been, oh-ooh

Second thing second
Don't you tell me what you think that I can be
I'm the one at the sail, I'm the master of my sea, oh-ooh
The master of my sea, oh-ooh

I was broken from a young age
Taking my sulking to the masses
Write down my poems for the few
Who looked at me took to me, shook to me, feeling me
Singing from heartache from the pain
Take up my message from the veins
Speaking my lesson from the brain
Seeing the beauty through the

Pain
You made me a, you made me a believer, believer
Pain
You break me down, you build me up, believer, believer
Pain
Oh let the bullets fly, oh let them rain
My life, my love, my god, they came from
Pain
You made me a, you made me a believer, believer

Third things third
Send a prayer to the ones up above
All the hate that you've heard has turned your spirit to a dove, oh-ooh
Your spirit up above, oh-ooh

I was choking in the crowd
Living my brain up in the cloud
Falling like ashes to the ground
Hoping my feelings, they would drown
But they never did, ever lived, ebbing and flowing
Inhibited, limited
Till it broke up and it rained down
It rained down, like

Pain
You made me a, you made me a believer, believer
Pain
You break me down, you built me up, believer, believer
Pain
Oh let the bullets fly, oh let them rain
My life, my love, my god, they came from
Pain
You made me a, you made me a believer, believer

Last things last
By the grace of the fire and the flames
You're the face of the future, the blood in my veins, oh-ooh
The blood in my veins, oh-ooh

But they never did, ever lived, ebbing and flowing
Inhibited, limited
Till it broke up and it rained down
You rained down, like

Pain
You made me a, you made me a believer, believer
Pain
You break me down, you built me up, believer, believer
Pain
I let the bullets fly, oh let them rain
My life, my love, my god, they came from
Pain
You made me a, you made me a believer, believer"
The Weeknd,I Feel It Coming,"Tell me what you really like
Baby I can take my time
We don't ever have to fight
Just take it step-by-step
I can see it in your eyes
'Cause they never tell me lies
I can feel that body shake
And the heat between your legs

You've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it can set you free
We don't have to rush when you're alone with me

I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe

You are not the single type
So baby, this the perfect time
I'm just trying to get you high
And faded off this touch
You don't need a lonely night
So baby, I can make it right
You just got to let me try
To give you what you want

You've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it can set you free
We don't have to rush when you're alone with me

I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe

You've been scared of love
And what it did to you
You don't have to run
I know what you've been through
Just a simple touch
And it can set you free
We don't have to rush
When you're alone with me

I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I know what you feel right now
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I know what you say right now, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I know what you say right now, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe

I feel it coming, babe
I feel it coming, babe
I feel it coming, babe
I feel it coming, babe"
Sabrina Carpenter,Thumbs,"Somewhere in the world there is a father and a mother
And the father is a son who has a mother
The mother has a daughter who gets married to the brother of a mother
And they all just tryna multiply with one another

'Cause that's just the way of the world
It never ends 'til the end, then you start again
That's just the way of the world
That's just the way of the world

Somewhere in the world they think they're working for themselves
They get up every day to go to work for someone else
And somebody works for them and so they think they've got it made
But they're all just working to get paid the very same

And so they keep on twiddlin' them thumbs
Skiddly-dee-da-dum
They gonna keep on twiddlin' them thumbs
Skiddly-dee-da-dum-dum
And so they keep on twiddlin' them thumbs
Skiddly-dee-da-dum (Skiddly-dee-da-dum)
They gonna keep on twiddlin' them thumbs
Skiddly-dee-da-dum-dum

Somewhere in the world you got a robber and a bank
And the bank robbed the people so the people rob the bank
And the police came to get him but they let him get away
'Cause they're all just workin' to get paid the very same

'Cause that's just the way of the world
It never ends 'til the end, then you start again
That's just the way of the world
That's just the way of the world

And so they keep on twiddlin' them thumbs
Skiddly-dee-da-dum (Skiddly-dee-da-dum)
They gonna keep on twiddlin' them thumbs
Skiddly-dee-da-dum-dum
And so they keep on twiddlin' them thumbs
Skiddly-dee-da-dum (Skiddly-dee-da-dum)
They gonna keep on twiddlin' them thumbs
Skiddly-dee-da-dum-dum

Don't believe everything that you hear
Let it go through your left and right ear
Don't just march to the beat of that drum
Don't be one of them people just twiddlin' them thumbs

'Cause that's just the way of the world
It never ends 'til the end, and then you start again
That's just the way of the world
That's just the way of the world

And so they keep on twiddlin' them thumbs
Skiddly-dee-da-dum (Skiddly-dee-da-dum)
They gonna keep on twiddlin' them thumbs
Skiddly-dee-da-dum-dum
And so they keep on twiddlin' them thumbs
Skiddly-dee-da-dum (Skiddly-dee-da-dum)
They gonna keep on twiddlin' them thumbs (Oh, la)
Skiddly-dee-da-dum-dum
(Skiddly-dee-da-da-da, da-dum-dum-dum-dum)

And so they keep on twiddlin' them thumbs (They keep on, keep on)
Skiddly-dee-da-dum (They keep on, keep on)
They gonna keep on twiddlin' them thumbs
Skiddly-dee-da-dum-dum
'Cause that's just the way of the world"
Jason Derulo,Talk Dirty (feat. 2 Chainz),"Jason, ha ha
Jason Derulo

Jason Derulo
Get jazzy on it
I'm that flight that you get on, international
First class seat on my lap girl, riding comfortable
'Cause I know what the girls them need, New York to Haiti
I got lipstick stamps on my passport, you make it hard to leave

Been around the world don't speak the language
But your booty don't need explaining
All I really need to understand is when you
Talk dirty to me
Talk dirty to me
Talk dirty to me
Talk dirty to me
Get jazzy on it

You know the words to my songs, no habla ingles
Our conversations ain't long, but you know what is
I know what the girls them want, London to Taiwan
I got lipstick stamps on my passport, I think I need a new one

Been around the world, don't speak the language
But your booty don't need explaining
All I really need to understand is when you
Talk dirty to me
Talk dirty to me
Talk dirty to me
Talk dirty to me
Get jazzy on it

(Uno) Met your friend in Rio
(Dos) She was all on me yo
(Tres) We can ménage a three tho
(Quatro) Oh yeah

2 Chainz
Dos Cadenas, close to genius
Sold out arenas, you can suck my penis (ooh, damn)
Gilbert Arenas, guns on deck
Chest to chest, tongue on neck (neck)
International oral sex
Every picture I take I pose a threat
Bought a jet, what you expect?
Her pussy's so good, I bought her a pet (stop)
Anyway, every day I'm trying to get to it
Got it saved in my phone, under big booty
Anyway, every day I'm trying to get to it
Got it saved in my phone, under big booty

Jason Derulo
Been around the world, don't speak the language
But your booty don't need explaining
All I really need to understand is when you
Talk dirty to me (you you ah)
Talk dirty to me (yeah)
Talk dirty to me (talk to me)
Talk dirty to me (oh yeah, oh)
Get jazzy on it

What? I don't understand, ha ha"
Jonas Brothers,Critical,"There's a storm coming up
And I gotta prepare myself.
'Cause this felling'
Getting stronger everyday.

Something's creeping inside
Everything is about to change.
Gotta face the fact
That I can't walk away.

This is critical,
I'm feeling helpless.
So hysterical, this can't be healthy.
I can't eat or sleep
When you're not with me.
Baby, you're the air breath.
This is critical, yeah.
So stuck on you.

Used to have everything figured out
But it's different now.
When you came, you saw
You conquered my heart.

It's your laugh and your smile;
Wanna stay for a little while.
I don't wanna go,
I just want you in my arms.

This is critical,
I'm feeling helpless.
So hysterical, this can't be healthy.
I can't eat or sleep
When you're not with me.
Baby, you're the air breath.
This is critical, yeah.
So stuck on you.

Used to run and hide.
Used to bend our love.
But I can't run away this time.
Oh no.

This is critical,
I'm feeling helpless.
So hysterical, this can't be healthy.
I can't eat or sleep
When you're not with me.
You're the air breath.
This is critical, yeah.

Baby it's so critical,
It's so critical, yeah.
It's so critical,
It's so critical, yeah"
Jessie J,"Flashlight - From ""Pitch Perfect 2"" Soundtrack","When tomorrow comes
I'll be on my own
Feeling frightened of
The things that I don't know
When tomorrow comes
Tomorrow comes
Tomorrow comes

And though the road is long
I look up to the sky
And in the dark I found lost hope that I won't fly
And I sing along, I sing along, and I sing along

I got all I need when I got you and I
I look around me, and see a sweet life
I'm stuck in the dark but you're my flashlight
You're getting me, getting me through the night
Kick start my heart when you shine it in my eyes
Can't lie, it's a sweet life
Stuck in the dark but you're my flashlight
You're getting me, getting me through the night
'Cause you're my flashlight (flashlight)
You're my flashlight (flashlight), you're my flashlight

Ooh

I see the shadows long beneath the mountain top
I'm not afraid when the rain won't stop
Cause you light the way
You light the way,
You light the way

I got all I need when I got you and I
I look around me, and see a sweet life
I'm stuck in the dark but you're my flashlight
You're getting me, getting me through the night
Kick start my heart when you shine it in my eyes
Can't lie, it's a sweet life
Stuck in the dark but you're my flashlight
You're getting me, getting me through the night
(Light light light you're my flashlight)
Light light you're my flashlight
Light light light light light, oh
(Light light light you're my flashlight)
You're my flash, oh

I got all I need when I got you and I
I look around me, and see a sweet life
I'm stuck in the dark but you're my flashlight
You're getting me, getting me through the night
Kick start my heart when you shine it in my eyes
Can't lie, it's a sweet life
Stuck in the dark but you're my flashlight
(You're my flashlight)
You're getting me, getting me through the night
'Cause you're my flashlight
'Cause you're my flashlight
You're my flashlight

Ooh ooh
Ooh ooh
Ooh ooh ooh ooh ooh
Ooh oh oh

You're my flashlight
Light light
You're my flashlight
Light light ye-yeah

You're my flashlight"
Conrad Sewell,Start Again,"Home time, I'm getting ready for a long night
They say you never miss it 'til it's gone
Well you're gone and I wish I'd done it better
Mostly I miss having you close to me
The only one who really ever knows me
And I'm sorry, I promise I'll do better, better

There's a hole in the middle of my heart again
Can we start again, can we start again
There's a hole in the middle and it never mends
It never mends, can we start again

Some nights, I kid myself I treated you right
Lying to myself, I didn't know
If I'm honest, I could've done it better
You said we had it pretty much perfect
And then you told me that you loved me
But you're sorry, you needed something better, better

There's a hole in the middle of my heart again
Can we start again, can we start again
There's a hole in the middle and it never mends
It never mends, can we start again

So I guess I'm gonna let you go
But you get to keep a little bit of my soul
So I guess I'm gonna write you out
But I don't think I can do it to me right now
Let's pretend that time heals all

There's a hole in the middle of my heart again
But I'm not afraid to start again
Start again, gonna start again
There's a hole in the middle and it never mends
It never mends
But I've gotta try to start again"
Charlie Puth,Marvin Gaye (feat. Meghan Trainor),"Let's Marvin Gaye and get it on
You got the healing that I want
Just like they say it in the song
Until the dawn
Let's Marvin Gaye and get it on

We got this king size to ourselves
Don't have to share with no one else
Don't keep your secrets to yourself
It's Kama Sutra show and tell, yeah

Woah, there's lovin' in your eyes
That pulls me closer (Oh, it pulls me closer)
It's so subtle (It's so subtle), I'm in trouble (I'm in trouble)
But I'd love to be in trouble with you 

Let's Marvin Gaye and get it on
You got the healing that I want
Just like they say it in the song
Until the dawn
Let's Marvin Gaye and get it on

You got to give it up to me
I'm screaming, mercy, mercy, please
Just like they say it in the song
Until the dawn
Let's Marvin Gaye and get it on

And when you leave me all alone
I'm like a stray without a home
I'm like a dog without a bone
I just want you for my own
I got to have you, babe

Woah, there's lovin' in your eyes 
That pulls me closer (Oh, it pulls me closer)
It's so subtle (It's so subtle), I'm in trouble (I'm in trouble)
But I'd rather be in trouble with you 

Let's Marvin Gaye and get it on
Ooh, babe, I got that healing that you want, yeah
Like they say it in the songs
Until the dawn
Let's Marvin Gaye and get it on

Let's Marvin Gaye and get it on
You got the healing that I want
Just like they say it in the song
Until the dawn
Let's Marvin Gaye and get it on, babe

You got to give it up to me
I'm screaming mercy, mercy, please
Just like they say it in the song
Until the dawn
Let's Marvin Gaye and get it on
Just like they say it in the song
Until the dawn
Let's Marvin Gaye and get it on, ooh"
Mark Ronson,Uptown Funk,"Aw, ow!

This hit, that ice cold
Michelle Pfeiffer, that white gold
This one for them hood girls
Them good girls, straight masterpieces

Stylin', wilin' 
Livin' it up in the city
Got Chucks on with Saint Laurent
Gotta kiss myself, I'm so pretty

I'm too hot (hot damn)
Uh, call the police and the fireman
I'm too hot (hot damn)
Make a dragon wanna retire, man
I'm too hot (hot damn)
Say my name, you know who I am
I'm too hot (hot damn)
And my band 'bout that money
Break it down

Girls hit your hallelujah (woo)
Girls hit your hallelujah (woo)
Girls hit your hallelujah (woo)
'Cause uptown funk gon' give it to you (woo)
('Cause uptown funk gon' give it to you)
'Cause uptown funk gon' give it to you
Saturday night and we in the spot
Don't believe me just watch, come on!

(ya) Don't believe me just watch, uh
(ya) Don't believe me just watch, uh
Don't believe me just watch, uh
Don't believe me just watch
Don't believe me just watch
Hey, hey, hey, oh!

Stop, wait a minute
Fill my cup, put some liquor in it
Take a sip, sign the check
Julio, get the stretch

Ride to Harlem, Hollywood
Jackson, Mississippi
If we show up, we gon' show out
Smoother than a fresh jar o' Skippy

I'm too hot (hot damn)
Call the police and the fireman
I'm too hot (hot damn)
Make a dragon wanna retire, man
I'm too hot (too hot, hot damn, hot damn)
Bitch, say my name you know who I am
I'm too hot (hot damn)
Uh, and my band 'bout that money
Break it down

Girls hit your hallelujah (woo)
Girls hit your hallelujah (woo)
Girls hit your hallelujah (woo)
'Cause uptown funk gon' give it to you (woo)
('Cause uptown funk gon' give it to you)
'Cause uptown funk gon' give it to you
Saturday night and we in the spot
Don't believe me just watch, come on!

(ya) Don't believe me just watch, uh
(ya) Don't believe me just watch, uh
Don't believe me just watch, uh
Don't believe me just watch
Don't believe me just watch
Hey, hey, hey, oh!

Before we leave
Lemme tell y'all a lil' somethin'

Uptown funk you up
Uptown funk you up
Uptown funk you up
Uptown funk you up, uh
I said, uptown funk you up
Uptown funk you up, uh
Uptown funk you up
Uptown funk you up

Come on, dance, jump on it
If you sexy, then flaunt it
If you freaky, then own it
Don't brag about it, come show me

Come on, dance, jump on it
If you sexy, then flaunt it
Well, it's Saturday night and we in the spot
Don't believe me, just watch, come on

(Ya) Don't believe me just watch, uh
(Ya) Don't believe me just watch, uh
Don't believe me just watch, uh
Don't believe me just watch
Don't believe me just watch
Hey, hey, hey, oh!

Uptown funk you up (woo, come on)
Uptown funk you up (hey, say what?)
Uptown funk you up (hey)
Uptown funk you up (come on)
Uptown funk you up (woo, come on)
Uptown funk you up (hey, say what?)
Uptown funk you up (hey)
Uptown funk you up (come on)
Uptown funk you up (woo, come on)
Uptown funk you up (hey, say what?)
Uptown funk you up (hey)
Uptown funk you up (come on)
Uptown funk you up (ah)
Uptown funk you up (say what?)
Uptown funk you up
Aw, ow!"
